Date,State,Confirmed,Deaths,Serious,Critical,Recovered
3/17/2020,Kentucky,26,1,,,
3/18/2020,Kentucky,35,1,,,
3/19/2020,Kentucky,35,1,,,
3/17/2020,Louisiana,196,4,,,
3/18/2020,Louisiana,280,4,,,
3/19/2020,Louisiana,280,4,,,
3/17/2020,Maine,32,0,,,
3/18/2020,Maine,32,0,,,
3/19/2020,Maine,32,0,,,
3/17/2020,Maryland,57,0,,,0
3/18/2020,Maryland,85,1,,,0
3/19/2020,Maryland,85,1,,,0
3/17/2020,Massachusetts,218,0,,,
3/18/2020,Massachusetts,256,0,,,
3/19/2020,Massachusetts,256,0,,,
3/17/2020,Michigan,65,0,,,
3/18/2020,Michigan,80,1,,,
3/19/2020,Michigan,80,1,,,
3/17/2020,Minnesota,60,0,,1,
3/18/2020,Minnesota,77,0,,1,
3/19/2020,Minnesota,77,0,,1,
3/17/2020,Mississippi,21,0,,,
3/18/2020,Mississippi,21,0,,,
3/19/2020,Mississippi,21,0,,,
3/17/2020,Missouri,13,0,,,
3/18/2020,Missouri,24,1,,,
3/19/2020,Missouri,24,1,,,
3/17/2020,Montana,9,0,,,
3/18/2020,Montana,12,0,,,
3/19/2020,Montana,12,0,,,
3/17/2020,Nebraska,21,0,,,
3/18/2020,Nebraska,21,0,,,
3/19/2020,Nebraska,21,0,,,
3/17/2020,Nevada,55,1,,,
3/18/2020,Nevada,55,1,,,
3/19/2020,Nevada,55,1,,,
3/17/2020,New Hampshire,26,0,,,
3/18/2020,New Hampshire,26,0,,,
3/19/2020,New Hampshire,26,0,,,
3/17/2020,New Jersey,267,3,,,
3/18/2020,New Jersey,427,5,,,
3/19/2020,New Jersey,427,5,,,
3/17/2020,New Mexico,23,0,,,
3/18/2020,New Mexico,23,0,,,
3/19/2020,New Mexico,23,0,,,
3/17/2020,New York,1653,12,60,,
3/18/2020,New York,2914,20,60,,
3/19/2020,New York,2914,20,60,,
3/17/2020,North Carolina,40,0,,,
3/18/2020,North Carolina,40,0,,,
3/19/2020,North Carolina,40,0,,,
3/17/2020,North Dakota,5,0,,,
3/18/2020,North Dakota,5,0,,,
3/19/2020,North Dakota,5,0,,,
3/17/2020,Northern Mariana Islands,0,0,,,
3/18/2020,Northern Mariana Islands,0,0,,,
3/19/2020,Northern Mariana Islands,0,0,,,
3/17/2020,Ohio,67,0,,,
3/18/2020,Ohio,88,0,,,
3/19/2020,Ohio,88,0,,,
3/17/2020,Oklahoma,17,0,,,
3/18/2020,Oklahoma,29,0,,,
3/19/2020,Oklahoma,29,0,,,
3/17/2020,Oregon,65,1,,,
3/18/2020,Oregon,75,1,,,
3/19/2020,Oregon,75,1,,,
3/17/2020,Pennsylvania,96,0,,1,
3/18/2020,Pennsylvania,133,1,,1,
3/19/2020,Pennsylvania,133,1,,1,
3/17/2020,Puerto Rico,5,0,,,
3/18/2020,Puerto Rico,5,0,,,
3/19/2020,Puerto Rico,5,0,,,
3/17/2020,Rhode Island,21,0,,,
3/18/2020,Rhode Island,21,0,,,
3/19/2020,Rhode Island,21,0,,,
3/17/2020,South Carolina,47,1,,,
3/18/2020,South Carolina,60,1,,,
3/19/2020,South Carolina,60,1,,,
3/17/2020,South Dakota,11,1,,,
3/18/2020,South Dakota,11,1,,,
3/19/2020,South Dakota,11,1,,,
3/17/2020,Tennessee,73,0,,,
3/18/2020,Tennessee,98,0,,,
3/19/2020,Tennessee,98,0,,,
3/17/2020,Texas,64,2,,1,
3/18/2020,Texas,83,2,,1,
3/19/2020,Texas,83,2,,1,
3/17/2020,U.S. Virgin Islands,2,0,,,
3/18/2020,U.S. Virgin Islands,2,0,,,
3/19/2020,U.S. Virgin Islands,2,0,,,
3/17/2020,Utah,51,0,,,
3/18/2020,Utah,51,0,,,
3/19/2020,Utah,51,0,,,
3/17/2020,Vermont,17,0,,,
3/18/2020,Vermont,19,0,,,
3/19/2020,Vermont,19,0,,,
3/17/2020,Virginia,67,2,,,
3/18/2020,Virginia,77,2,,,
3/19/2020,Virginia,77,2,,,
3/17/2020,Washington,1012,54,,,1
3/18/2020,Washington,1187,66,,,1
3/19/2020,Washington,1187,66,,,1
3/17/2020,West Virginia,1,0,,,
3/18/2020,West Virginia,1,0,,,
3/19/2020,West Virginia,1,0,,,
3/17/2020,Wisconsin,72,0,,,1
3/18/2020,Wisconsin,106,0,,,1
3/19/2020,Wisconsin,106,0,,,1
3/17/2020,Wuhan (repatriated),3,0,,,
3/18/2020,Wuhan (repatriated),3,0,,,
3/19/2020,Wuhan (repatriated),3,0,,,
3/17/2020,Wyoming,11,0,,,
3/18/2020,Wyoming,11,0,,,
3/19/2020,Wyoming,11,0,,,
